入力No.,地区No.,名称,種別,年代,西暦,所在地①,所在地②,詳細,備考①,備考②,備考③,参考文献,地区,調査日,解説,写真,広報,緯度（世界）,経度（世界）,緯度_度,緯度_分,緯度_秒,経度_度,経度_分,経度_秒
1670,62,道路改良補装記念,,昭和39年,1964,小桑原町,,,,,高100幅30厚15,①,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
1678,63,喜翁登山度数寿碑,,明治20年,1887,小桑原町,,富士嶽神社境内,,,高127幅95厚25,①150,六郷,,@,,19/1,0.00000000 ,0.00000000 ,,,,,,
1679,64,芭蕉句碑,,安政5年,1858,小桑原町,,富士嶽神社境内,,,高95幅73厚10,①152,六郷,,@,,,0.00000000 ,0.00000000 ,,,,,,
1684,65,富士嶽神社由緒の碑,,昭和57年,1982,小桑原町,,富士嶽神社境内,,,高55幅91厚6,①165,六郷,,@,,,0.00000000 ,0.00000000 ,,,,,,
534,66,富士浅間入口道標,道標,天保7年,1836,新宿一丁目,8-11,通り,,現在は富士嶽神社境内,高幅厚,②496④⑧773,六郷,,@,,13/8,0.00000000 ,0.00000000 ,,,,,,
1661,67,御大礼紀念之碑,,大正4年,1915,新宿町,,第六小学校構内,,,高185幅83厚15,①,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
1675,68,奉安殿造営記念碑,,昭和10年,1935,新宿町,,第六小学校構内,,,高185幅70厚8,①,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
1662,69,補装道路完成記念碑,,昭和33年,1958,新宿町,,集会所構内,,,高84幅45厚15,①,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
1663,70,御大典記念,,昭和3年,1928,新宿町,,集会所構内,,,高77幅26厚21,①,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
1664,71,御大典記念門桂,,昭和3年,1928,新宿町,,集会所構内,,,高268幅38厚35,①,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
1665,72,御大典記念樹,,昭和3年,1928,新宿町,,長良神社境内,,,高121幅19厚17,①,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
408,73,苗木地蔵尊,立像,寛延元年,1748,苗木町,,苗木墓地,舟型背面、浮彫,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
540,74,苗木百力遍供養塔,,明和3年,1766,苗木町,,苗木墓地入口,柱型、文字,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
1673,75,句碑坂本風流,,明治19年,1886,近藤町,開拓,,,,高47幅90厚17,①146,六郷,,@,,21/3,0.00000000 ,0.00000000 ,,,,,,
1674,76,山神の碑,,明治19年,1886,近藤町,開拓,,,,高123幅80厚5,①,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
528,77,富士嶽神社宝篋印塔,,不明,,富士原町,,富士嶽神社,塔身1,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
476,78,富士嶽道標庚申,道標,寛政12年,1800,富士原町,,富士嶽神社境内,柱型、文字,,高幅厚,②496④⑧774,六郷,,@,,14/8,0.00000000 ,0.00000000 ,,,,,,
537,79,富士嶽天明道祖神,,天明2年,1782,富士原町,,富士嶽神社境内,,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
403,80,佛果地蔵尊,立像,享保4年,1719,富士原町,,富士原墓地,丸彫,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
416,81,治郎吉地蔵尊,立像,天保11年,1840,富士原町,,富士原墓地,丸彫,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
458,82,栗原家不動尊,,不明,,堀工町,上堀工,157,舟型背面、浮彫,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
401,83,堀工善男善女地蔵尊,立像,宝永7年,1710,堀工町,,上堀工墓地,丸彫,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
446,84,烏□馬頭尊,,不明,,堀工町,,上堀工墓地,厚碑型、文字,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
1410,85,釈迦如来種子板碑,,永仁3年,1295,堀工町,,上堀工墓地,種子 バク,,高幅厚,②⑧955,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
400,86,おくまん地蔵尊,立像,元禄2年,1689,堀工町,,三神社,舟型背面、浮彫,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
453,87,おくまん二十三夜塔,,文久2年,1862,堀工町,,三神社裏,柱型,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
469,88,三神社一猿庚申,,元文5年,1740,堀工町,,三神社境内,柱型、文字,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
404,89,享保舟型地蔵尊,,享保9年,1724,堀工町,,下堀工墓地,舟型背面、浮彫,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
426,90,下堀工安永馬頭尊,,安永8年,1779,堀工町,,下堀工墓地,〃,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
429,91,定右ェ門馬頭尊,,寛政4年,1792,堀工町,,下堀工墓地,厚碑型、文字,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
385,92,須永湯前薬師,立像,天明7年,1787,堀工町,,須永 銀八,舟型背面、浮彫,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
389,93,須永氏大日如来像,立像,天明5年,1785,堀工町,,須永 銀八,舟型背面、浮彫,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
542,94,須永さんのうさま,,天明4年,1784,堀工町,,須永 銀八,舟型背面,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
474,95,天明庚申,,天明2年,1782,堀工町,,須永銀八方,駒型、文字,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
392,96,子育聖観音,立像,天明6年,1786,堀工町,,須永銀八宅,舟型背面、浮彫,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
414,97,岩船山地蔵尊,立像,天明3年,1783,堀工町,,須永銀八宅地,舟型背面、浮彫,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
442,98,重吉馬頭尊,,昭和10年,1935,堀工町,,中里 重太郎,柱型、文字,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
1669,99,根本山神社百度登山紀念碑,,大正6年,1917,堀工町,,中里氏宅地内,,,高122幅62厚10,①143,六郷,,@,,,0.00000000 ,0.00000000 ,,,,,,
432,100,源右ェ門馬頭尊,,文化9年,1812,堀工町,,松本 勇七,厚碑型、文字,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
384,101,茂林寺本尊釈迦如来,座像,不明,,堀工町,,茂林寺,木造、推定 鎌倉時代,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
391,102,茂林寺聖観音座像,座像,元禄3年,1690,堀工町,,茂林寺,銅像,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
395,103,茂林寺宥性虚空蔵菩薩,立像,宝永4年,1707,堀工町,,茂林寺,丸彫,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
437,104,戊辰文字馬頭尊,,明治元年,1868,堀工町,,茂林寺,柱型、文字,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
1545,105,種子不明板碑,,不明,,堀工町,,茂林寺,,,高幅厚,②,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
451,106,十六夜如意輪観音,,明和2年,1765,堀工町,,茂林寺境内,像あり,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
488,107,茂林寺板碑,,不明,,堀工町,,茂林寺境内,出所：所在地と同じ、上・中部欠,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
1576,108,道標（3）,道標,享保9年,1724,堀工町,,茂林寺境内,,,高幅厚,②,六郷,,@,,15/8,0.00000000 ,0.00000000 ,,,,,,
1655,109,躑躅園寄附の碑,,大正14年,1925,堀工町,,茂林寺境内,,,高81幅20厚14,①,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
1656,110,御大典記念,,昭和3年,1928,堀工町,,茂林寺境内,,,高82幅22厚15,①,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
1657,111,茂林寺青柳線完成記念,,不詳,,堀工町,,茂林寺境内,,,高125幅46厚30,①,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
1658,112,茶筅塚,,昭和44年,1969,堀工町,,茂林寺境内,,,高106幅85厚22,①138,六郷,,@,,16/10,0.00000000 ,0.00000000 ,,,,,,
1659,113,銀婚式記念碑,,大正14年,1925,堀工町,,茂林寺境内,,,高202幅104厚14,①,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
1681,114,ぶんぶく茶釜童謡碑,,昭和34年,1959,堀工町,,茂林寺境内,,一覧表と年代異なる,高140幅248厚29,①157,六郷,,@,,18/2,0.00000000 ,0.00000000 ,,,,,,
1682,115,景呉筆塚,,昭和47年,1972,堀工町,,茂林寺境内,,,高126幅97厚35,①158,六郷,,@,,,0.00000000 ,0.00000000 ,,,,,,
1683,116,戰車第二師団工兵隊之碑,,昭和35年,1960,堀工町,,茂林寺境内,,,高443幅171厚25,①,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
455,117,堀工二十三夜塔,,慶応2年,1866,堀工町,,茂林寺守鶴堂脇,柱型,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
396,118,天和念佛地蔵尊,立像,天和4年,1684,堀工町,,茂林寺墓地,舟型背面、浮彫,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
436,119,釜塚馬頭尊,,慶応3年,1867,堀工町,,茂林寺墓地,〃,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
495,120,茂林寺宝篋印塔（1）,,慶長19年,1614,堀工町,,茂林寺墓地,刻銘あり,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
496,121,茂林寺宝篋印塔（2）,,寛永2年,1625,堀工町,,茂林寺墓地,相輪欠、刻銘あり,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
497,122,茂林寺宝篋印塔（3）,,寛永3年,1626,堀工町,,茂林寺墓地,刻銘あり,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
498,123,茂林寺宝篋印塔（4）,,寛永4年,1627,堀工町,,茂林寺墓地,刻銘あり、昭和44年～45年頃掘り出されたという,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
499,124,茂林寺宝篋印塔（5）,,寛永9年,1632,堀工町,,茂林寺墓地,刻銘あり,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
500,125,茂林寺宝篋印塔（6）,,寛永9年,1632,堀工町,,茂林寺墓地,刻銘あり,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
501,126,茂林寺宝篋印塔（7）,,寛永10年,1633,堀工町,,茂林寺墓地,相輪欠、刻銘あり,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
502,127,茂林寺宝篋印塔（8）,,寛永11年,1634,堀工町,,茂林寺墓地,刻銘あり,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
503,128,茂林寺宝篋印塔（9）,,寛永12年,1635,堀工町,,茂林寺墓地,刻銘あり,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
504,129,茂林寺宝篋印塔（10）,,寛永13年,1636,堀工町,,茂林寺墓地,相輪上部欠損、刻銘あり、寛永13年は子,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
505,130,茂林寺宝篋印塔（11）,,寛永13年,1636,堀工町,,茂林寺墓地,刻銘あり,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
506,131,茂林寺宝篋印塔（12）,,寛永16年,1639,堀工町,,茂林寺墓地,刻銘あり,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
507,132,茂林寺宝篋印塔（13）,,寛永16年,1639,堀工町,,茂林寺墓地,刻銘あり,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
508,133,茂林寺宝篋印塔（14）,,寛永16年,1639,堀工町,,茂林寺墓地,相輪一部欠損、刻銘あり,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
509,134,茂林寺宝篋印塔（15）,,寛永17年,1640,堀工町,,茂林寺墓地,刻銘あり,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
510,135,茂林寺宝篋印塔（16）,,寛永18年,1641,堀工町,,茂林寺墓地,相輪欠損、刻銘あり,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
511,136,茂林寺宝篋印塔（17）,,寛永18年,1641,堀工町,,茂林寺墓地,刻銘あり,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
512,137,茂林寺宝篋印塔（18）,,寛永20年,1643,堀工町,,茂林寺墓地,刻銘あり,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
513,138,茂林寺宝篋印塔（19）,,寛永22年,1645,堀工町,,茂林寺墓地,刻銘あり、寛永21年12月正保に改元する,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
514,139,茂林寺宝篋印塔（20）,,正保2年,1645,堀工町,,茂林寺墓地,刻銘あり,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
515,140,茂林寺宝篋印塔（21）,,正保3年,1646,堀工町,,茂林寺墓地,刻銘あり,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
516,141,茂林寺宝篋印塔（22）,,正保3年,1646,堀工町,,茂林寺墓地,刻銘あり,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
517,142,茂林寺宝篋印塔（23）,,正保3年,1646,堀工町,,茂林寺墓地,刻銘あり,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
518,143,茂林寺宝篋印塔（24）,,正保4年,1647,堀工町,,茂林寺墓地,相輪欠損、刻銘あり,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
519,144,茂林寺宝篋印塔（25）,,正保5年,1648,堀工町,,茂林寺墓地,刻銘あり,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
520,145,茂林寺宝篋印塔（26）,,承応2年,1653,堀工町,,茂林寺墓地,刻銘あり、干支は癸巳のはず,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
521,146,茂林寺宝篋印塔（27）,,明暦3年,1657,堀工町,,茂林寺墓地,刻銘あり,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
522,147,茂林寺宝篋印塔（28）,,寛文9年,1669,堀工町,,茂林寺墓地,刻銘あり,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
523,148,茂林寺宝篋印塔（29）,,延宝7年,1679,堀工町,,茂林寺墓地,刻銘あり,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
524,149,茂林寺宝篋印塔（30）,,不明,,堀工町,,茂林寺墓地,,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
525,150,茂林寺宝篋印塔（31）,,不明,,堀工町,,茂林寺墓地,刻銘なし,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
526,151,茂林寺宝篋印塔（32）,,不明,,堀工町,,茂林寺墓地,塔身なし,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
527,152,茂林寺宝篋印塔（33）,,不明,,堀工町,,茂林寺墓地,相輪1、笠部3、基礎1,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
464,153,茂林寺三猿庚申,,延宝8年,1680,堀工町,,茂林寺墓地入口,三猿浮彫,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
477,154,堀工自然石庚申,,寛政12年,1800,堀工町,,茂林寺墓地入口,自然石、文字,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
1577,155,道標（4）,道標,文久元年,1861,堀工町,中山東,,,,高幅厚,②,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
444,156,常太郎馬頭尊,,昭和18年,1943,堀工町,,野村 純一郎,〃,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
1660,157,御成婚記念道標,道標,大正13年,1924,堀工町,,,,,高95幅18厚18,①,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
1667,158,館林南部土地改良,,昭和44年,1969,堀工町,,,,,高86幅51厚15,①,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
1668,159,赤生田土地改良,,昭和44年,1969,堀工町,,,,,高82幅50厚19,①,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
1680,160,山田烏兎二君碑,,明治33年,1900,つつじ町,,総合体育館構内,,,高144幅63厚10,①154,六郷,,@,,16/9,0.00000000 ,0.00000000 ,,,,,,
1651,161,松林寺墓地整理記念碑,,不詳,,松原町,,松林寺境内,,,高105幅44厚6,①,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
1652,162,県道拡張記念碑,,不詳,,松原町,,松林寺境内,,,高95幅49厚7,①,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
535,163,松原道標,道標,不明,,松原一丁目,,交差点,,,高幅厚,②496④⑧774,六郷,,@,,15/2,0.00000000 ,0.00000000 ,,,,,,
531,164,松原観世音道標,道標,元文3年,1738,松原一丁目,7-33,瀬山 増男,,,高幅厚,②496④,六郷,,@,,14/3,0.00000000 ,0.00000000 ,,,,,,
407,165,旧花山道地蔵尊,道標,享保20年,1735,松原一丁目,19-32,瀬山康長宅,柱型、文字地蔵尊,,高幅厚,②496④,六郷,,@,,@,0.00000000 ,0.00000000 ,,,,,,
536,166,瀬山道祖神道標,道標,不明,,松原一丁目,19-32,瀬山 康長,,,高幅厚,②497④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
533,167,松林寺回国道標,道標,文政8年,1825,松原一丁目,,松原公民館,,,高幅厚,②496④,六郷,,@,,16/1,0.00000000 ,0.00000000 ,,,,,,
445,168,儀助馬頭尊,,昭和23年,1948,松原一丁目か,,瀬山 儀一,駒型、文字,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
431,169,八右エ門馬頭尊,,文化元年,1804,松原一丁目か,,浜野喜四郎,舟型背面像,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
433,170,文政直線舟型馬頭尊,,文政3年,1820,松原二丁目,,松原墓地,舟型背面像,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
439,171,柱型文字馬頭尊,,明治11年,1878,松原二丁目,,松原墓地,柱型、文字,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
393,172,子育交通守護観音,立像,昭和47年,1978,松原二丁目,,松原霊園,銅造,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
397,173,舟型念佛地蔵尊,立像,元禄2年,1689,松原二丁目,,松原霊園,舟型背面、浮彫,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
411,174,光明地蔵尊,立像,明和8年,1771,松原二丁目,,松原霊園,丸彫,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
418,175,松原無銘地蔵尊,立像,不明,,松原二丁目,,松原霊園,丸彫,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
423,176,元禄馬頭尊,,元禄13年,1700,松原二丁目,,松原霊園,舟型背面像,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
452,177,松原如意輪観音,,安永3年,1774,松原二丁目,,松原霊園,像あり,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
493,178,松原霊園宝篋印塔（1）,,寛永12年,1635,松原二丁目,,松原霊園,刻銘あり,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
494,179,松原霊園宝篋印塔（2）,,寛文9年,1669,松原二丁目,,松原霊園,刻銘あり,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
543,180,英順光明供養塔,,天保9年,1838,松原二丁目,,松原霊園,柱型、梵字,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
463,181,延宝三猿庚申,,延宝8年,1680,松原二丁目,,松原霊園墓地内,三猿浮彫,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
467,182,正徳三猿庚申,,正徳3年,1714,松原二丁目,,松原霊園墓地内,三猿浮彫庚申,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
471,183,延享青面金剛,,延享4年,1748,松原二丁目,,松原霊園墓地内,文字、青面金剛,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
473,184,明和庚申,,明和2年,1765,松原二丁目,,松原霊園墓地内,柱型、文字,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
475,185,自然石庚申,,寛政12年,1800,松原二丁目,,松原霊園墓地内,自然石、文字,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
479,186,萬延庚申,,萬延元年,1860,松原二丁目,,松原霊園墓地内,柱型、文字,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
417,187,トウムギ地蔵尊,立像,不明,,緑町一丁目,,新宿トウムギ地蔵堂内,丸彫、厨子入り,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
386,188,新宿薬師如来,座像,不明,,緑町一丁目,,新宿薬師堂,木造、丸彫,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
456,189,薬師堂十九夜尊,,大正11年,1922,緑町一丁目,,新宿薬師堂境内,像あり,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
410,190,百万遍供養地蔵尊,立像,明和4年,1767,緑町一丁目,,新宿薬師堂前,丸彫,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
394,191,遍照寺十一面観音,立像,不明,,緑町一丁目,,遍照寺,丸彫,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
409,192,延命地蔵尊,座像,明和元年,1764,緑町一丁目,,遍照寺,丸彫,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
413,193,賢覚地蔵尊,座像,安永9年,1780,緑町一丁目,,遍照寺,丸彫,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
427,194,遍照寺天明馬頭尊,,天明元年,1781,緑町一丁目,,遍照寺,〃,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
448,195,遍照寺如意輪観世音,,宝暦4年,1754,緑町一丁目,,遍照寺境内,梵字23字あり,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
544,196,與教大師七百五十回遠忍供養塔,,明治27年,1894,緑町一丁目,,遍照寺境内,柱型、文字,,高1142幅38厚36,①④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
545,197,遍照寺供養塔,,大正15年,1927,緑町一丁目,,遍照寺境内,柱型、文字,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
1653,198,日露戦役戦死者供養碑,,不詳,,緑町一丁目,,遍照寺境内,,,高269幅36厚10,①,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
1654,199,本堂改築記念碑,,不詳,,緑町一丁目,,遍照寺境内,,,高287幅116厚18,①,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
489,200,遍照寺宝篋印塔（1）,,寛永14年,1637,緑町一丁目,,遍照寺墓地,相輪欠、刻銘あり,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
490,201,遍照寺宝篋印塔（2）,,寛文元年,1661,緑町一丁目,,遍照寺墓地,相輪欠、刻銘あり,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
491,202,遍照寺宝篋印塔（3）,,寛文3年,1663,緑町一丁目,,遍照寺墓地,相輪欠、刻銘あり,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
492,203,遍照寺宝篋印塔（4）,,不明,,緑町一丁目,,遍照寺墓地,笠部（室町期）,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
388,204,大日如来座像,座像,享保4年,1719,緑町一丁目,,遍照寺,銅造,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
454,205,トウムギ地蔵堂二十三夜塔,,文久3年,1863,緑町一丁目,3-7,,柱型,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
421,206,遍照寺無縁地蔵尊,立像,元禄10年,1697,緑町一丁目,,遍照寺,丸彫、銅造,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
422,207,遍照寺六地蔵尊,,貞享元年,1684,緑町一丁目,,遍照寺墓地,六角柱各面浮彫,,高幅厚,④,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
1671,208,光明眞語供養塔,,大正15年,1926,緑町一丁目,,遍照寺境内,,,高280幅97厚14,①,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
1676,209,弘法大師遠忌之碑,,明治16年,1883,緑町一丁目,,遍照寺境内,,,高226幅140厚10,①,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
1677,210,堂屋改葺記念之碑,,大正5年,1916,緑町一丁目,,遍照寺境内,,,高270幅105厚16,①148,六郷,,@,,,0.00000000 ,0.00000000 ,,,,,,
1546,211,阿弥陀如来種子板碑,,不明,,六郷地区,,赤土共同墓地,種子 キリーク,,高幅厚,②,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
1470,212,釈迦如来種子板碑,,永和3年,1377,六郷地区,,阿部 与平,種子 バク,,高幅厚,②⑧957,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
1471,213,種子不明板碑,,永和4年,1378,六郷地区,,阿部 与平,,,高幅厚,②⑧957,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
1472,214,釈迦如来種子板碑,,永和5年,1379,六郷地区,,阿部 与平,種子 バク,,高幅厚,②⑧957,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
1474,215,釈迦如来種子板碑,,永和5年,1379,六郷地区,,阿部 与平,種子 バク,,高幅厚,②,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
1481,216,阿弥陀如来種子板碑,,応永4年,1397,六郷地区,,阿部 与平,種子 キリーク,,高幅厚,②⑧957,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
1483,217,大日如来種子板碑,,応永8年,1401,六郷地区,,阿部 与平,種子 バン,,高幅厚,②⑧958,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
1448,218,阿弥陀如来種子板碑,,貞和2年,1346,六郷地区,,石川 孝,種子 キリーク,,高幅厚,②,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
1449,219,阿弥陀如来種子板碑,,貞和2年,1346,六郷地区,,石川 孝,種子 キリーク,,高幅厚,②,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
1505,220,種子不明板碑,,不明,,六郷地区,,石川 孝,,,高幅厚,②,六郷,,,,,0.00000000 ,0.00000000 ,,,,,,
